file            format  type  num_seqs      sum_len  min_len  avg_len  max_len
PN5JC.m500.fa  FASTA   DNA     49,608  95,437,144      500  1,923.8  1,122,413
PN5JE.m500.fa  FASTA   DNA     50,012  75,882,354      500  1,517.3  381,745
PN5JF.m500.fa  FASTA   DNA     61,977  103,426,968      500  1,668.8  271,645
PN5JD.m500.fa  FASTA   DNA    292,234  493,921,624      500  1,690.2  276,208
PN5JG.m500.fa  FASTA   DNA     54,245  103,680,423      500  1,911.3  1,122,698
PN5JH.m500.fa  FASTA   DNA    301,613  495,083,156      500  1,641.5  406,529
PN5LA.m500.fa  FASTA   DNA    258,941  568,856,572      500  2,196.9  609,450
PN5LB.m500.fa  FASTA   DNA    395,450  787,121,138      500  1,990.4  396,423
PN5LC.m500.fa  FASTA   DNA    413,778  780,069,895      500  1,885.2  462,023
PN5LE.m500.fa  FASTA   DNA    263,293  578,161,046      500  2,195.9  550,114
PN5LD.m500.fa  FASTA   DNA    414,385  790,064,524      500  1,906.6  406,849
PN5LF.m500.fa  FASTA   DNA    403,835  842,553,040      500  2,086.4  575,659
PN5LG.m500.fa  FASTA   DNA    424,261  834,360,432      500  1,966.6  448,289
PN5LH.m500.fa  FASTA   DNA    399,281  728,933,631      500  1,825.6  609,316
PN5RA.m500.fa  FASTA   DNA    523,757  1,016,047,893      500  1,939.9  462,826
PN5RB.m500.fa  FASTA   DNA    464,094  905,213,640      500  1,950.5  386,656
PN5RC.m500.fa  FASTA   DNA    301,616  721,191,369      500  2,391.1  487,540
PN5RD.m500.fa  FASTA   DNA    458,429  900,375,110      500    1,964  484,512
PN5RE.m500.fa  FASTA   DNA    490,901  994,800,489      500  2,026.5  393,510
PN5RF.m500.fa  FASTA   DNA    537,665  1,018,013,204      500  1,893.4  458,802
PN5RG.m500.fa  FASTA   DNA    460,352  925,958,641      500  2,011.4  634,106
PN5RH.m500.fa  FASTA   DNA    502,069  1,003,062,335      500  1,997.9  488,127
PN6RA.m500.fa  FASTA   DNA    902,464  1,194,523,616      500  1,323.6  381,163
PN6RB.m500.fa  FASTA   DNA   1,056,746  1,447,640,935      500  1,369.9  404,964
PN6RC.m500.fa  FASTA   DNA   1,109,770  1,537,170,485      500  1,385.1  299,497
PN6RD.m500.fa  FASTA   DNA    956,047  1,230,228,429      500  1,286.8  494,940
PN6RE.m500.fa  FASTA   DNA    779,789  1,032,447,421      500    1,324  450,569
PN6RF.m500.fa  FASTA   DNA    727,717  1,046,688,985      500  1,438.3  343,608
PN6RG.m500.fa  FASTA   DNA    929,214  1,230,565,946      500  1,324.3  498,225
PN6RH.m500.fa  FASTA   DNA    930,873  1,204,159,493      500  1,293.6  436,101
PN6RI.m500.fa  FASTA   DNA    890,963  1,185,664,038      500  1,330.8  436,204
PN6RJ.m500.fa  FASTA   DNA    744,013  998,994,512      500  1,342.7  451,578
PN6RK.m500.fa  FASTA   DNA    661,099  875,974,649      500    1,325  571,414
PN6RL.m500.fa  FASTA   DNA    966,488  1,253,845,383      500  1,297.3  342,620
PN6RM.m500.fa  FASTA   DNA    808,494  1,111,242,891      500  1,374.5  458,843
PN6RN.m500.fa  FASTA   DNA    886,001  1,162,708,515      500  1,312.3  401,549
PN6RO.m500.fa  FASTA   DNA    748,802  1,071,775,073      500  1,431.3  354,805
PN6RP.m500.fa  FASTA   DNA    882,528  1,133,774,169      500  1,284.7  381,163
PN6RQ.m500.fa  FASTA   DNA    765,507  1,029,935,765      500  1,345.4  478,729
PN6RS.m500.fa  FASTA   DNA    866,117  1,128,387,895      500  1,302.8  464,795
PN6RR.m500.fa  FASTA   DNA    865,869  1,136,515,880      500  1,312.6  622,204
PN7RA.m500.fa  FASTA   DNA    550,091  753,478,384      500  1,369.7  268,147
PN6RT.m500.fa  FASTA   DNA    949,585  1,236,268,442      500  1,301.9  364,953
PN7RB.m500.fa  FASTA   DNA    714,242  929,483,487      500  1,301.4  634,149
PN7RC.m500.fa  FASTA   DNA    767,847  1,007,530,232      500  1,312.1  328,677
PN7RD.m500.fa  FASTA   DNA    560,731  782,568,231      500  1,395.6  301,457
PN7RE.m500.fa  FASTA   DNA    653,200  931,447,114      500    1,426  492,316
PN7RF.m500.fa  FASTA   DNA    756,309  1,054,874,139      500  1,394.8  298,311
PN7RG.m500.fa  FASTA   DNA    740,391  1,002,345,067      500  1,353.8  1,025,691
PN7RH.m500.fa  FASTA   DNA    672,578  904,526,015      500  1,344.9  436,012
PN7RI.m500.fa  FASTA   DNA    662,958  930,326,931      500  1,403.3  437,694
PN7RJ.m500.fa  FASTA   DNA    832,868  1,055,116,512      500  1,266.8  358,328
