DATASET_SIMPLEBAR
SEPARATOR TAB

#数据集名称
DATASET_LABEL	simplebar_size
PN5RC.vae.12731	3.464101615
PN15RK.bin.100	3.464101615
PN8RL.vae.33528	3.464101615
PN16RR.vae.80791	3.464101615
PN1LE.vae.465	3.464101615
PN13RF.bin.5	3.464101615
PN9RG.vae.6345	3.464101615
PN1RK.vae.7227	3.464101615
PN3RG.vae.4014	3.464101615
PN2LA.bin.124	3.464101615
PN6RL.vae.3945	3.464101615
PN6RM.vae.13644	3.464101615
PN8RI.vae.10854	3.464101615
PN6RQ.bin.177	3.464101615
PN3RH.vae.70923	3.464101615
PN3LD.vae.17632	3.464101615
PN3RF.vae.4404	3.464101615
PN1RH.vae.26417	3.464101615
PN2LG.vae.4115	3.464101615
PN6RH.bin.131	3.464101615
PN16RE.vae.9073	3.464101615
PN6RJ.vae.76657	3.464101615
PN4RD.vae.114046	3.464101615
PN4RB.vae.859	3.464101615
PN10RD.vae.147424	3.464101615
PN2RG.bin.133	3.464101615
PN10RS.bin.164	3.464101615
PN16RI.bin.110	3.464101615
PN8RB.vae.4988	3.464101615
PN10RD.bin.77	3.464101615
PN6RL.vae.2267	3.464101615
PN3RD.bin.202	3.464101615
PN7RM.bin.119	3.31662479
PN13RT.vae.934	3.31662479
PN13RE.vae.2213	3.31662479
PN14RB.bin.146	3.31662479
PN13RB.vae.3958	3.31662479
PN12RD.vae.9679	3.31662479
PN11RG.vae.20532	3.31662479
PN13RI.vae.4836	3.31662479
PN10RN.vae.28271	3.31662479
PN10RG.vae.8672	3.31662479
PN3CA.vae.9529	3.31662479
PN11RG.vae.14036	3.31662479
PN5RE.bin.323	3.31662479
PN16RI.vae.19097	3.31662479
PN7RA.bin.94	3.31662479
PN10RH.vae.10354	3.31662479
PN10RF.vae.2930	3.31662479
PN5JH.bin.28	3.31662479
PN2RJ.bin.4	3.31662479
PN11RN.bin.178	3.31662479
PN7RI.bin.161	3.31662479
PN6RE.vae.18720	3.31662479
PN8RC.bin.88	3.31662479
PN6RE.vae.4616	3.31662479
PN10RM.vae.45517	3.31662479
PN13RB.vae.27210	3.31662479
PN7RQ.vae.3348	3.31662479
PN5RC.bin.165	3.31662479
PN11RL.bin.98	3.31662479
PN7RP.vae.23470	3.31662479
PN16RV.vae.32981	3.31662479
PN10RP.vae.4655	3.31662479
PN1RI.bin.31	3.31662479
PN10RC.vae.44463	3.31662479
PN11RG.bin.160	3.31662479
PN8RG.bin.154	3.31662479
PN10RF.bin.114	3.31662479
PN5RA.vae.10041	3.31662479
PN14RF.vae.940	3.16227766
PN10RM.vae.12084	3.16227766
PN6RN.vae.3728	3.16227766
PN8RD.vae.2221	3.16227766
PN6RQ.vae.3619	3.16227766
PN14RE.vae.18168	3.16227766
PN5CC.vae.8795	3.16227766
PN16RJ.vae.2002	3.16227766
PN2CG.vae.3032	3.16227766
PN13RC.vae.7082	3.16227766
PN8RO.bin.5	3.16227766
PN8RJ.bin.77	3.16227766
PN1GH.vae.23475	3.16227766
PN12RC.vae.3991	3.16227766
PN9RM.bin.196	3.16227766
PN1RA.bin.272	3.16227766
PN13RE.bin.160	3.16227766
PN8RS.vae.2551	3.16227766
PN10RL.vae.5506	3.16227766
PN7RQ.bin.93	3.16227766
PN2LF.bin.88	3.16227766
PN14RR.vae.23829	3.16227766
PN16RC.vae.2245	3.16227766
PN5CF.bin.10	3.16227766
PN6RH.vae.7808	3.16227766
PN14RG.vae.3423	3.16227766
PN8RP.vae.5283	3.16227766
PN10RI.vae.16715	3.16227766
PN1CD.bin.8	3.16227766
PN5RF.vae.40744	3.16227766
PN16RC.vae.6676	3.16227766
PN3RG.vae.13315	3.16227766
PN2CG.vae.9399	3.16227766
PN10RH.vae.1640	3.16227766
PN1RI.vae.42105	3.16227766
PN2LF.bin.35	3.16227766
PN8RS.vae.10070	3.16227766
PN2GE.vae.8740	3
PN1RE.vae.2523	3
PN3GH.vae.3016	3
J474	3
PN7RT.vae.1040	3
PN13RO.vae.51403	3
PN14RH.bin.183	3
PN2LF.vae.3633	3
PN10RS.vae.31748	3
PN7RP.bin.162	3
PN3JG.bin.11	3
PN7RN.vae.8215	3
PN5RE.vae.7350	3
PN6RB.vae.6062	3
PN6RQ.vae.45334	3
PN14RK.vae.4906	3
PN5LA.bin.224	3
PN14RO.vae.50703	3
PN7RM.vae.11329	3
PN14RF.vae.4766	3
PN12RF.bin.98	3
PN15RK.vae.36225	3
PN5RB.bin.120	3
PN16RK.vae.13852	3
PN10RR.bin.21	3
PN13RC.vae.87658	3
PN6RJ.vae.1630	3
PN8RP.vae.26156	3
PN11RH.vae.51299	3
PN14RP.vae.4818	3
PN8RB.bin.4	3
PN3RF.bin.170	3
PN11RB.bin.80	3
PN16RS.bin.166	3
PN11RN.vae.20363	3
PN13RI.vae.4653	3
PN4RD.vae.68850	3
PN14RM.vae.18396	3
PN15RI.vae.45959	3
PN5RE.vae.36641	3
PN3RG.vae.1958	3
PN3RE.vae.25173	3
PN1RJ.vae.11288	3
PN5RA.vae.42408	3
PN8RS.vae.23672	3
PN1RL.vae.4386	3
PN3RG.vae.8833	3
PN8RP.vae.11809	3
PN1RC.vae.66755	3
PN8RB.bin.141	3
PN15RB.vae.9378	2.828427125
PN3LB.vae.91643	2.828427125
PN16RJ.bin.135	2.828427125
PN9RH.vae.1796	2.828427125
PN6RI.bin.168	2.828427125
PN5RD.bin.57	2.828427125
PN12RB.bin.110	2.828427125
PN5JD.bin.61	2.828427125
PN10RF.vae.12158	2.828427125
PN15RP.vae.1355	2.828427125
PN7RT.vae.47292	2.828427125
PN14RT.vae.1935	2.828427125
PN15RJ.vae.8082	2.828427125
PN16RL.bin.82	2.828427125
PN10RP.vae.24027	2.828427125
PN7RR.vae.8218	2.828427125
PN7RF.vae.38499	2.828427125
PN3GB.bin.48	2.828427125
PN13RE.vae.10287	2.828427125
PN15RE.bin.40	2.828427125
PN5LB.vae.12257	2.828427125
PN11RO.bin.158	2.828427125
PN3RD.vae.5361	2.828427125
PN13RL.vae.22407	2.828427125
PN5RC.bin.169	2.828427125
PN7RE.vae.25301	2.828427125
PN5LG.vae.5964	2.828427125
PN3GD.bin.22	2.828427125
PN10RP.vae.27143	2.828427125
PN16RF.vae.34783	2.828427125
PN5LF.vae.24624	2.828427125
PN10RM.vae.1005	2.828427125
PN16RD.vae.5145	2.828427125
PN1RC.vae.31697	2.828427125
PN2RH.vae.6302	2.828427125
PN6RC.vae.1485	2.828427125
PN6RB.vae.2191	2.828427125
PN10RM.bin.150	2.828427125
PN6RL.vae.974	2.828427125
PN11RK.bin.197	2.828427125
PN16RK.vae.18101	2.828427125
PN2RE.bin.29	2.828427125
PN5CC.vae.7322	2.828427125
PN13RH.vae.85407	2.828427125
PN5CB.vae.21197	2.828427125
PN8RG.bin.116	2.828427125
PN1RJ.bin.150	2.828427125
PN3LB.bin.51	2.828427125
PN8RK.vae.40964	2.828427125
PN12RJ.vae.3601	2.828427125
PN6RQ.vae.928	2.828427125
PN3LD.vae.11983	2.828427125
PN6RO.vae.41184	2.828427125
PN10RA.vae.55780	2.828427125
PN6RL.vae.46963	2.828427125
PN6RQ.bin.7	2.828427125
PN10RE.vae.3402	2.828427125
PN1RL.vae.14061	2.828427125
PN8RO.vae.29805	2.828427125
PN14RC.vae.5517	2.828427125
PN16RL.bin.52	2.828427125
PN9RJ.bin.13	2.828427125
PN15RH.vae.7595	2.828427125
PN6RC.vae.6433	2.828427125
PN8RF.vae.18026	2.828427125
PN8RL.vae.16622	2.828427125
PN3CC.bin.184	2.828427125
PN8RL.vae.7700	2.828427125
PN13RJ.bin.13	2.828427125
PN1RJ.vae.25365	2.828427125
PN7RK.bin.26	2.828427125
PN1CD.bin.159	2.645751311
PN5CG.bin.170	2.645751311
PN3GH.bin.14	2.645751311
PN1RH.vae.13216	2.645751311
G47	2.645751311
PN12RI.vae.889	2.645751311
PN14RA.vae.900	2.645751311
PN1RH.vae.21008	2.645751311
