DATASET_SIMPLEBAR
SEPARATOR TAB

#数据集名称
DATASET_LABEL	simplebar_size
PN3CA.bin.115	2.801214
PN2CD.bin.13	2.797584
PN10RO.vae.37307	2.796277
PN11RN.bin.16	2.795379
PN10RD.bin.77	2.79474
PN5RB.bin.45	2.793259
PN12RB.vae.7057	2.792985
PN13RK.vae.1409	2.79127
PN7RQ.vae.1990	2.790756
PN16RJ.vae.2002	2.789712
PN12RG.bin.34	2.787218
PN1GH.vae.83207	2.786508
PN2LJ.vae.18012	2.782556
PN10RM.vae.47156	2.781656
PN11RK.bin.88	2.780929
PN5RB.vae.11516	2.780547
PN10RI.vae.2334	2.777388
PN6RF.vae.11272	2.777339
PN6RO.vae.45512	2.776628
PN6RF.bin.124	2.774593
J1001	2.774264
PN5CG.vae.35720	2.773202
PN3CD.vae.38841	2.773168
PN5RB.vae.5788	2.769173
PN5RE.vae.85259	2.767578
PN6RF.vae.96620	2.766653
PN2RE.vae.2835	2.762545
PN8RC.bin.120	2.76235
PN16RJ.bin.144	2.760164
PN2RE.vae.2846	2.759531
PN10RG.vae.8672	2.757304
PN15RB.vae.92164	2.755507
PN10RF.vae.2611	2.755209
PN2CG.bin.120	2.755012
PN8RQ.vae.7064	2.754914
PN10RL.vae.5506	2.754688
PN16RU.vae.3921	2.752993
PN3CA.vae.16217	2.752761
CH28	2.752366
PN6RI.vae.16674	2.751968
PN3GE.bin.19	2.750794
PN15RB.bin.17	2.747211
PN3GB.bin.51	2.746402
PN7RR.bin.153	2.746353
PN5CC.vae.8795	2.743601
PN16RJ.bin.77	2.741889
PN5LH.vae.17356	2.741002
PN2GE.bin.4	2.740735
PN10RF.vae.2930	2.739785
PN10RR.vae.34732	2.737483
PN4RE.bin.176	2.735764
PN11RE.bin.119	2.735464
PN5CF.vae.2490	2.733267
PN12RG.bin.56	2.732774
PN11RK.bin.56	2.732154
PN13RH.vae.85407	2.731764
PN11RE.bin.56	2.731118
PN11RN.bin.44	2.731035
PN5RH.vae.5611	2.730627
PN5LE.vae.7329	2.729988
PN8RN.vae.742	2.727703
PN12RE.vae.1131	2.724118
PN7RI.vae.5574	2.721327
PN5LE.vae.12265	2.72116
PN10RP.vae.2380	2.717289
PN13RE.vae.10287	2.717272
PN13RR.vae.25367	2.71649
PN14RQ.bin.75	2.715369
PN11RF.vae.28473	2.711921
K297	2.711673
K343	2.709826
PN10RJ.bin.166	2.707605
PN7RL.bin.68	2.707075
PN9RK.bin.47	2.706687
PN10RQ.vae.9163	2.706529
PN3CA.vae.8284	2.706238
PN10RO.vae.6229	2.705856
PN12RD.vae.20200	2.704222
PN7RD.vae.4156	2.704118
PN10RL.vae.771	2.70373
PN5LG.vae.5964	2.703497
PN11RF.vae.61502	2.701621
PN5RC.vae.10536	2.701299
PN3DD.vae.3228	2.700557
PN10RF.bin.114	2.700455
PN6RM.vae.13644	2.699792
PN1LH.vae.121437	2.69952
PN16RH.bin.22	2.699476
PN6RE.vae.18336	2.699283
PN6RO.vae.50337	2.69788
PN8RM.vae.3712	2.697592
PN9RF.vae.4481	2.695743
PN12RA.vae.46444	2.69513
PN14RN.bin.172	2.691504
PN10RG.vae.11046	2.689525
PN5RF.bin.235	2.688279
PN9RE.vae.10692	2.683533
PN9RM.vae.12507	2.682832
PN9RP.bin.129	2.678412
PN5RE.vae.22254	2.678324
PN16RN.bin.55	2.673218
PN2CJ.vae.7280	2.670369
PN7RN.vae.8215	2.670207
PN3LC.vae.133304	2.668377
PN10RO.vae.13950	2.666563
PN8RC.vae.1634	2.66521
PN7RE.bin.71	2.664061
PN9RP.vae.858	2.66279
PN14RO.vae.20045	2.662106
PN10RH.vae.20479	2.656982
PN2LG.vae.6786	2.65663
PN2IF.bin.18	2.654967
PN5LB.vae.22194	2.65419
PN5CG.vae.47618	2.654043
PN2LE.vae.27167	2.653573
PN12RJ.vae.32321	2.65244
PN11RM.bin.89	2.649142
PN9RN.bin.23	2.648897
PN11RL.bin.107	2.648803
PN5LG.bin.65	2.64827
PN5LA.vae.17488	2.64787
PN8RC.bin.156	2.646685
PN14RQ.vae.4682	2.645127
PN1LG.vae.20645	2.644453
PN7RQ.vae.42891	2.644177
PN1CL.vae.22638	2.6404
PN10RP.vae.24027	2.640005
PN5RD.vae.11385	2.639934
PN10RF.vae.16545	2.639347
PN14RQ.bin.234	2.639143
PN11RI.bin.209	2.638031
PN15RK.vae.25406	2.636859
PN12RB.vae.9771	2.635796
PN1RD.vae.35317	2.635615
PN6RD.bin.26	2.635379
PN10RP.bin.154	2.634602
PN1RC.vae.62660	2.631226
PN5LA.bin.172	2.630506
PN5RD.vae.13310	2.629601
PN6RB.bin.108	2.629117
PN5CG.bin.170	2.627371
PN7RG.vae.29528	2.627152
PN6RK.bin.21	2.627096
PN7RQ.bin.196	2.624307
PN8RE.vae.28853	2.623339
PN5RA.bin.203	2.622995
PN8RA.vae.23359	2.622531
PN1RE.vae.5820	2.622485
PN10RI.vae.10777	2.622447
PN9RJ.bin.16	2.619184
PN3DD.bin.6	2.615058
PN5RE.vae.29715	2.61136
PN7RR.vae.10001	2.611093
PN13RK.vae.22689	2.610871
PN7RT.vae.47292	2.609504
PN12RA.bin.49	2.60879
PN3RF.vae.56011	2.608141
PN15RE.vae.12705	2.607015
PN11RA.bin.228	2.606422
PN3RB.vae.225	2.605897
K341	2.605559
PN13RP.vae.1205	2.602499
PN15RA.bin.5	2.599899
PN11RE.vae.12187	2.599845
PN10RJ.vae.32410	2.599742
PN3CF.vae.20235	2.599299
PN1RA.bin.272	2.598925
PN5CB.bin.130	2.598791
PN11RI.vae.36013	2.598293
CH2	2.59508
PN10RJ.vae.50602	2.594315
PN5RA.bin.269	2.593685
PN11RK.vae.25272	2.591963
PN6RD.vae.642	2.59193
PN1CL.vae.19985	2.591884
PN6RC.bin.176	2.591127
PN6RO.bin.159	2.588857
PN2GG.bin.15	2.586625
PN8RS.vae.2551	2.583953
PN11RD.vae.10428	2.583146
PN5RE.bin.3	2.581202
PN5IE.bin.56	2.581058
PN3CB.bin.108	2.580453
PN16RQ.vae.723	2.579762
PN3CC.vae.7083	2.578105
PN7RE.bin.203	2.57791
PN16RH.bin.164	2.577796
PN3RH.vae.37285	2.575298
PN9RJ.vae.4381	2.574866
PN2CH.bin.54	2.574858
PN16RJ.bin.135	2.573276
PN16RR.bin.78	2.572513
PN15RH.bin.46	2.571205
J381	2.570559
PN5RB.bin.46	2.570041
H70	2.569392
PN5LG.vae.3825	2.569131
H124	2.567977
PN14RP.vae.4818	2.566199
PN4RE.bin.8	2.56416
PN5LG.bin.131	2.5636
PN10RD.vae.8840	2.563594
PN8RC.vae.33586	2.562961
J343	2.562356
PN3RF.vae.27902	2.562172
PN3RA.vae.3604	2.561669
PN5LF.vae.24624	2.561283
J183	2.561202
PN3CH.vae.13320	2.559788
PN5RC.vae.8055	2.558183
PN14RK.vae.4906	2.55602
PN6RJ.vae.1630	2.555606
PN5RE.bin.11	2.555122
PN10RH.vae.8546	2.553761
PN6RC.vae.13639	2.553009
PN11RG.vae.20532	2.552787
PN6RM.bin.12	2.5524
PN12RE.bin.24	2.552255
PN10RL.bin.182	2.54892
PN11RM.vae.28195	2.546
PN5RB.bin.120	2.544864
PN5RC.vae.56164	2.544479
PN5CB.vae.2975	2.543561
K8	2.542646
PN16RR.vae.132844	2.541671
PN7RJ.vae.390	2.541243
PN5RE.vae.10846	2.53911
PN4RH.vae.8900	2.537659
PN3LC.bin.10	2.536264
PN5RC.bin.202	2.535053
PN3RA.vae.55291	2.534168
PN5RE.bin.352	2.532201
PN14RM.bin.124	2.5322
PN10RH.vae.1640	2.531059
PN14RM.vae.18396	2.530379
PN7RN.vae.63066	2.529724
PN3CH.vae.25040	2.529249
PN3RA.vae.101357	2.529141
PN11RB.vae.1260	2.52846
PN10RJ.bin.118	2.528176
PN7RN.vae.96553	2.526317
PN5LB.bin.198	2.525644
PN5RC.vae.8363	2.525486
PN2RB.vae.20406	2.524789
PN3CB.vae.27763	2.523655
PN13RE.vae.32149	2.522875
PN4RD.bin.65	2.521262
PN7RT.vae.15252	2.519643
PN14RP.vae.44700	2.518751
PN1CB.bin.54	2.51874
PN14RQ.bin.12	2.518478
PN8RM.bin.133	2.518408
PN6RI.vae.16388	2.518041
PN10RB.vae.13718	2.517563
PN2CH.vae.12961	2.517153
PN13RO.vae.1349	2.51659
PN14RE.bin.96	2.516278
PN8RJ.bin.149	2.516156
PN6RI.vae.2077	2.51542
PN14RM.vae.194787	2.515016
PN6RI.vae.12555	2.513551
PN5RA.bin.253	2.511696
PN2GB.vae.5853	2.511692
PN5RB.bin.25	2.508166
PN15RE.bin.78	2.505374
PN14RT.bin.36	2.505299
PN4RB.vae.16410	2.504995
PN7RG.vae.8198	2.504769
PN13RO.bin.25	2.503557
PN6RI.vae.13687	2.503396
PN6RI.vae.2480	2.5027
PN3RG.vae.41243	2.499783
PN8RD.vae.3381	2.499329
PN6RQ.vae.45334	2.499278
PN3JA.bin.20	2.499166
PN7RG.bin.162	2.498804
PN2CG.vae.16150	2.498369
K27	2.497253
PN3JG.bin.28	2.497106
PN4RD.bin.105	2.49704
PN5RA.vae.16328	2.49235
PN11RM.vae.35089	2.491861
PN9RC.vae.5861	2.491837
PN5RB.vae.46801	2.490584
PN8RS.vae.10070	2.490109
PN13RO.vae.10291	2.4901
PN10RD.vae.20059	2.489375
PN5RA.bin.286	2.488117
PN6RE.vae.4616	2.487806
PN5CE.vae.3389	2.487711
PN16RI.bin.38	2.486083
PN5RE.vae.103030	2.485836
PN13RD.vae.9407	2.483908
PN12RE.vae.2368	2.482975
PN4RE.vae.68132	2.48002
R216	2.479162
PN12RH.vae.10325	2.479002
PN11RN.bin.60	2.478891
PN14RG.vae.3423	2.476958
PN10RG.vae.10218	2.475367
PN10RG.vae.7479	2.474751
PN11RL.bin.98	2.474354
K10	2.473324
PN15RB.bin.142	2.473232
PN6RD.vae.355	2.473017
PN8RA.vae.3959	2.472659
PN11RK.vae.21049	2.47261
PN16RL.vae.34628	2.471593
PN2JD.vae.12717	2.470188
PN8RM.vae.13113	2.470096
PN6RD.vae.921	2.468642
PN10RS.bin.30	2.468066
PN1CA.bin.30	2.467661
PN7RM.bin.119	2.466609
PN16RF.bin.122	2.466095
PN6RN.vae.2489	2.465639
PN6RH.vae.4521	2.464413
PN10RO.vae.49396	2.46274
PN14RQ.bin.207	2.462561
PN3RH.vae.27444	2.462434
PN14RO.vae.77412	2.462327
PN10RH.bin.111	2.461697
PN5CC.vae.38378	2.461361
PN5RC.vae.30971	2.460974
PN5RG.vae.121717	2.460038
PN5JD.vae.18303	2.459212
PN16RK.bin.100	2.457013
PN8RD.vae.8239	2.4554
PN4RE.bin.117	2.454105
PN5LD.vae.18976	2.453236
PN13RJ.bin.13	2.453234
PN12RI.vae.4991	2.452913
PN5JG.vae.4500	2.452073
PN5RH.vae.19686	2.451944
PN5CB.vae.22709	2.450597
PN10RN.vae.40463	2.448457
PN5LE.vae.18766	2.447598
PN7RN.vae.5847	2.446708
PN11RM.vae.27387	2.446639
PN13RB.vae.3958	2.445674
PN8RO.vae.220	2.445175
PN6RM.vae.4964	2.444755
PN2CG.vae.2503	2.443504
PN7RL.bin.40	2.443391
H53	2.443274
PN1CL.vae.3833	2.442992
PN11RN.vae.1026	2.442734
PN16RF.vae.89971	2.442655
PN11RG.vae.37198	2.440784
PN6RT.bin.182	2.440405
PN3CG.bin.162	2.439903
PN3GA.bin.38	2.438112
PN6RT.vae.6506	2.434528
PN2LG.vae.82158	2.434265
PN1RB.vae.16371	2.433276
PN3GB.bin.8	2.432909
K299	2.432135
PN13RC.vae.10903	2.432132
PN14RQ.bin.92	2.432112
PN5RB.vae.17155	2.432022
PN16RA.vae.10211	2.431862
PN5LC.bin.9	2.431473
PN6RC.vae.17722	2.431381
PN7RS.vae.865	2.427692
PN10RQ.vae.1396	2.425454
PN1GG.bin.68	2.4251
PN14RB.vae.26740	2.424254
PN5RA.vae.5961	2.424061
PN3RC.vae.2459	2.423877
PN7RJ.vae.4665	2.423575
PN15RK.vae.36225	2.422784
PN3CB.vae.16545	2.422344
PN5JD.vae.7980	2.422287
CH10	2.421912
PN10RM.vae.45517	2.421899
PN5LD.bin.59	2.421337
PN5RF.vae.97247	2.421034
PN5CB.bin.135	2.420457
PN1CA.bin.8	2.41942
PN6RL.vae.35006	2.418097
PN10RG.bin.90	2.417944
PN8RG.bin.115	2.417902
PN3LG.vae.13907	2.416599
PN5RC.bin.153	2.415449
PN16RS.vae.11417	2.414582
PN9RB.vae.52324	2.41409
PN8RN.vae.7261	2.413398
PN14RJ.vae.28141	2.412548
PN1GG.bin.46	2.412328
PN16RK.vae.13852	2.411143
K21	2.410058
PN12RE.bin.91	2.409283
PN5RG.vae.1012	2.408947
PN16RI.vae.23793	2.40784
PN5RD.bin.87	2.407507
PN2RJ.bin.4	2.406985
PN10RE.vae.3402	2.406678
PN13RO.bin.213	2.405912
PN4RB.vae.22037	2.405897
PN11RK.bin.197	2.405794
PN11RE.bin.178	2.404866
PN5LE.bin.190	2.404601
PN2RC.vae.5263	2.404507
PN16RP.vae.29666	2.404406
PN8RM.vae.12120	2.403137
PN10RH.bin.149	2.402773
PN3GH.bin.7	2.402584
PN14RQ.vae.76274	2.401141
J474	2.398835
PN10RD.bin.13	2.39775
PN7RQ.bin.117	2.397585
H2	2.396711
PN10RN.vae.10565	2.396516
PN2LD.bin.87	2.39641
PN8RR.vae.25205	2.395573
PN10RK.vae.17141	2.395355
PN5IE.vae.4569	2.3952
PN8RR.vae.15059	2.395125
PN5RE.vae.9530	2.394455
PN8RN.bin.201	2.393725
PN3RD.vae.5361	2.391824
PN7RE.bin.131	2.391555
PN2GB.vae.4889	2.388375
J276	2.387934
PN5LC.vae.9455	2.385934
PN5LH.bin.17	2.384517
PN7RQ.vae.16188	2.382702
PN5CE.vae.12156	2.381973
PN11RA.vae.18046	2.381228
PN7RJ.bin.98	2.381104
PN5GA.vae.7976	2.381031
PN6RQ.bin.11	2.380701
PN7RP.bin.179	2.380455
PN6RH.bin.131	2.379066
PN10RS.vae.20750	2.378964
PN10RF.vae.113644	2.378896
PN14RK.vae.3709	2.378817
PN8RF.vae.9958	2.378396
PN10RL.vae.4516	2.377886
PN5RH.vae.57552	2.377733
PN4RD.bin.8	2.37706
PN11RH.vae.51299	2.376467
PN5LD.bin.185	2.376246
PN6RB.vae.2191	2.375094
PN8RC.bin.56	2.374998
PN13RR.vae.20731	2.37452
PN8RL.vae.6450	2.372217
PN16RR.vae.80791	2.372168
PN5CD.bin.62	2.370817
PN3RF.vae.37328	2.36973
PN1LL.vae.7969	2.369463
PN6RR.vae.7961	2.368936
PN11RF.bin.127	2.368069
PN5RE.bin.64	2.367263
PN1CF.vae.30162	2.36712
PN1RL.vae.827	2.365869
PN5IE.bin.2	2.365783
PN2CF.vae.10636	2.364459
PN3LD.vae.11938	2.364201
PN1GC.bin.15	2.362462
PN16RE.bin.157	2.358743
PN8RO.vae.2175	2.358497
PN3RA.bin.56	2.358168
PN13RR.vae.45074	2.357825
PN4RD.vae.68850	2.356696
PN15RE.vae.931	2.355618
H52	2.354892
PN16RO.bin.202	2.354267
PN15RO.bin.160	2.354239
K331	2.352969
PN9RQ.bin.10	2.352689
PN3CA.bin.170	2.350147
PN10RI.vae.2857	2.34652
PN2RH.vae.17580	2.345622
PN2LA.bin.124	2.345366
PN1GJ.bin.9	2.345238
PN11RG.bin.160	2.344401
PN10RL.bin.130	2.341975
PN6RI.bin.168	2.341529
PN16RG.vae.44311	2.339092
K330	2.339046
PN8RF.vae.2424	2.338775
PN11RM.bin.222	2.338359
PN1GE.bin.59	2.33794
PN14RE.bin.77	2.336577
PN2CH.bin.95	2.336167
PN5CB.vae.3104	2.33385
PN11RA.bin.14	2.333596
PN5RC.vae.6630	2.333314
PN5JC.bin.15	2.333179
PN14RE.vae.18168	2.331651
PN2GG.bin.16	2.330559
PN5LC.bin.69	2.329611
PN11RM.vae.229	2.328748
PN4RF.bin.57	2.328748
PN1RL.vae.5420	2.327686
PN3JH.vae.2382	2.326733
PN16RR.bin.92	2.326711
PN10RQ.bin.23	2.325987
PN3DD.bin.69	2.325341
PN8RM.vae.32610	2.32506
PN5RC.vae.18314	2.324308
PN3CA.vae.114276	2.323411
PN5CB.vae.21197	2.322372
PN11RA.vae.11578	2.322172
PN13RC.vae.14812	2.321902
PN13RT.vae.3232	2.321267
PN13RM.vae.18568	2.320596
PN1GD.bin.41	2.320489
