DATASET_GRADIENT
#In gradient datasets, each ID is associated to a single numeric value which is converted to a colored box based on the gradient defined.

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throught this file.
SEPARATOR TAB
#SEPARATOR SPACE
#SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL	abundance
PN2LB.vae.1136	2.753081646
PN1GL.bin.46	2.753061026
PN2LD.bin.130	2.750823036
PN3CG.vae.3495	2.74957024
PN5LA.vae.6738	2.749368882
PN12RH.vae.2345	2.749160157
PN8RE.bin.116	2.748117027
PN5JD.bin.61	2.74709905
PN2CG.vae.2503	2.746203589
PN1RC.vae.604	2.742224101
PN11RA.bin.182	2.740439119
PN13RD.vae.8515	2.739248764
PN1RE.vae.1621	2.739147119
PN14RK.vae.3709	2.738655353
PN6RS.vae.155494	2.736605166
PN2CC.vae.7452	2.735894016
PN10RF.vae.12158	2.733364238
K67	2.730139337
PN3JH.bin.22	2.728855679
PN2CE.vae.27783	2.727785454
PN5RC.vae.12731	2.726846962
PN5RH.vae.1187	2.726316923
PN1RK.bin.254	2.724628463
PN5RE.bin.328	2.723648351
PN11RK.bin.123	2.72304205
PN1GB.vae.867	2.719000834
PN5RA.bin.273	2.71875352
PN9RD.vae.1750	2.718429549
PN2GJ.vae.6147	2.717846544
PN3GA.bin.52	2.717716478
PN6RC.bin.65	2.716512697
PN11RI.vae.288	2.715624996
PN16RK.vae.36348	2.712819553
PN6RF.bin.18	2.712550616
PN11RF.vae.28473	2.711315273
PN14RA.vae.10105	2.71083085
PN16RJ.vae.2002	2.709225329
PN10RP.vae.19791	2.708679007
PN2CG.vae.3032	2.708186545
PN5LE.bin.190	2.705073624
PN1RE.bin.124	2.704875638
PN13RE.vae.32149	2.703952022
PN13RR.vae.13926	2.70243655
PN13RE.vae.2213	2.700049993
PN5JG.vae.4500	2.699088091
PN5LF.vae.19924	2.697964244
PN1GD.bin.25	2.69785001
PN12RJ.vae.164162	2.696882852
PN14RL.bin.170	2.695455817
PN8RM.vae.3591	2.69402338
PN5RA.bin.104	2.693746175
PN14RB.bin.146	2.693213379
PN6RO.vae.66118	2.69304463
PN1RG.bin.35	2.692779402
PN11RF.vae.12622	2.692198211
PN5IB.vae.5283	2.692103271
PN7RP.bin.162	2.690327836
PN9RH.vae.9560	2.690035663
PN14RM.bin.95	2.689424523
PN8RC.bin.14	2.689294862
PN7RT.vae.8749	2.687948987
PN13RH.vae.18563	2.687440481
PN5IB.vae.2209	2.686365847
PN6RK.vae.81483	2.685733109
PN5LE.bin.48	2.685277873
PN3JG.bin.11	2.684199356
PN5IE.vae.204043	2.684115059
PN15RP.vae.1355	2.68285594
PN6RI.vae.2330	2.681400294
PN14RB.vae.21314	2.681118073
PN5RB.bin.174	2.680619254
PN7RT.vae.47292	2.679288882
PN2RF.vae.1663	2.676605361
PN5LE.vae.5041	2.675331277
PN5CA.vae.9885	2.673515724
PN16RI.bin.154	2.672602666
PN5CE.vae.6158	2.672560776
PN2LB.bin.114	2.672495022
PN13RP.bin.76	2.670042991
PN8RA.vae.3959	2.669712216
X28a	2.668597984
PN3GB.bin.19	2.668106724
PN13RK.vae.1409	2.66645226
PN7RG.bin.178	2.664081768
PN10RE.vae.1614	2.663857199
PN6RO.vae.20214	2.66115538
PN6RC.vae.3581	2.660809178
PN15RK.bin.100	2.660051395
PN11RI.bin.118	2.659495517
PN13RB.vae.3958	2.658324777
PN1GH.vae.83207	2.655033218
PN16RQ.vae.9914	2.652993369
PN5RB.bin.45	2.652276828
PN12RD.vae.9679	2.650207044
PN1GI.bin.8	2.64886385
PN16RP.bin.77	2.64879993
PN1RH.vae.21008	2.646926106
PN13RC.vae.7082	2.645742558
PN8RR.bin.203	2.645457877
PN10RB.vae.75587	2.644925154
PN2LB.vae.2767	2.644500565
PN5RC.vae.8363	2.643942677
PN7RV.bin.107	2.641926383
PN7RI.vae.5574	2.640627699
PN12RD.vae.6216	2.639292431
PN14RI.vae.60161	2.638711753
PN13RC.vae.14047	2.637898993
PN15RH.bin.46	2.636015602
PN8RL.vae.33528	2.634905684
PN1IB.vae.15256	2.634751786
PN8RO.bin.5	2.632187001
PN1LF.bin.6	2.63211619
PN7RD.vae.4156	2.628143223
PN11RI.vae.43284	2.627122308
PN11RG.vae.20532	2.625848615
PN7RN.vae.96553	2.625101205
PN6RC.vae.10670	2.623622526
PN5CA.vae.9799	2.6207501
PN14RT.vae.1935	2.619425445
PN8RS.vae.15767	2.618463844
PN15RI.bin.107	2.618134468
PN11RG.vae.37198	2.617317532
PN8RL.vae.14373	2.614291336
PN6RM.vae.14177	2.61406495
PN5RC.bin.202	2.613039856
PN16RR.vae.80791	2.611469312
PN11RL.bin.107	2.611456034
PN15RG.bin.130	2.610951414
PN7RG.vae.7305	2.610728352
PN16RE.vae.7477	2.609960223
PN5RD.vae.11977	2.609379519
PN2CB.bin.101	2.607967147
PN8RJ.bin.77	2.606338933
PN3GD.bin.33	2.605984144
PN2RH.vae.55240	2.605587259
PN5CE.vae.12156	2.605030118
PN3GB.vae.7714	2.604617955
PN9RC.vae.5449	2.601854143
PN15RA.vae.12433	2.600469848
PN7RM.vae.2197	2.600443058
PN11RE.vae.12187	2.599758792
PN7RR.vae.10652	2.599459833
PN11RD.bin.137	2.598690306
PN6RJ.vae.156555	2.597462767
PN5JD.vae.8928	2.594694856
PN7RN.vae.8215	2.59439498
PN4RC.vae.1613	2.593850997
PN5RB.vae.25072	2.593793136
PN16RD.vae.6276	2.591343028
PN3DD.bin.18	2.590958594
PN1CL.vae.62331	2.590688329
PN5RE.vae.7350	2.589537282
PN11RB.bin.172	2.588337302
PN16RP.bin.78	2.588110541
PN1GH.vae.23475	2.588081968
PN13RA.vae.28982	2.588080442
PN15RM.bin.29	2.587156004
PN5LC.vae.3858	2.586824229
PN5CG.vae.5625	2.586092386
PN2LI.bin.30	2.586062978
PN5RC.vae.11842	2.585615262
PN3LE.vae.2705	2.58376764
PN11RE.vae.18999	2.582834606
PN10RM.vae.5165	2.58220788
PN8RD.bin.209	2.579416025
PN5RE.vae.85259	2.579279489
PN6RB.vae.6062	2.578659974
PN16RK.vae.8937	2.575119276
PN11RO.vae.26127	2.57473186
PN1JG.vae.13389	2.57332264
PN10RM.vae.3742	2.572611224
PN6RN.vae.1258	2.571342904
PN1LE.vae.465	2.570564478
PN7RQ.vae.1990	2.569646631
PN16RE.bin.157	2.568834877
PN12RC.vae.3991	2.568574116
PN10RC.vae.518	2.568432075
PN4RF.bin.57	2.567863818
PN9RM.bin.196	2.567395182
