DATASET_GRADIENT
#In gradient datasets, each ID is associated to a single numeric value which is converted to a colored box based on the gradient defined.

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throught this file.
SEPARATOR TAB
#SEPARATOR SPACE
#SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL	occurence
PN15RJ.vae.8082	1.527604521
PN16RQ.vae.9914	1.159627735
PN8RC.vae.40903	1.583121849
PN10RL.bin.182	1.519060747
PN11RF.vae.28473	1.780992882
PN11RG.vae.20532	1.088271827
PN6RM.vae.14177	1.623385029
PN6RS.bin.20	1.694192239
PN6RP.vae.45411	1.709299657
PN6RS.bin.102	1.361273099
PN4RB.vae.22037	1.381476485
PN6RE.vae.18336	1.590503802
PN7RT.vae.47292	1.803976789
PN6RJ.vae.156555	1.498446292
PN10RM.vae.8333	1.638936876
PN12RH.bin.61	1.647579838
PN13RM.vae.18568	1.552271404
PN5RD.vae.76495	1.670497573
PN6RF.bin.151	1.634550026
PN5CE.vae.10264	1.739757521
PN7RN.vae.8215	1.63674899
G32	0.896386301
PN7RS.vae.865	1.279603053
PN2LB.bin.141	1.609596744
PN8RC.vae.103398	1.723899166
PN2LD.bin.130	1.377510298
PN2LH.bin.73	1.660230086
PN4RH.vae.13294	1.253897652
PN11RE.vae.18999	1.709299657
PN7RJ.vae.390	1.385406779
PN6RA.vae.93628	1.678540294
PN5LF.bin.11	1.326855534
PN10RP.vae.19791	1.146263774
PN11RL.vae.9447	0.641113796
PN7RQ.vae.3348	1.139424349
PN1RH.vae.18292	1.479962886
PN2RB.vae.21973	1.152997157
PN7RC.vae.17768	1.649713967
PN14RD.vae.79669	1.630118411
PN9RB.vae.22858	1.709299657
PN5RA.bin.56	1.791870235
PN7RJ.vae.644	1.618837401
PN5RD.vae.22079	1.373507555
PN13RR.vae.34023	1.70369578
PN10RF.vae.2611	1.722100843
PN2CE.vae.27783	1.580633048
PN11RL.bin.107	1.676543534
PN15RL.vae.36467	1.220897392
PN5LF.vae.3446	-0.057856209
PN1CJ.bin.98	1.705571785
PN3RF.vae.29991	0.787241831
PN9RQ.bin.10	1.709299657
PN11RF.bin.105	0.983536476
PN4RB.vae.16410	1.60253489
PN3RD.vae.5534	1.670497573
PN6RL.vae.1633	1.725690074
PN8RM.vae.3591	1.656054145
PN7RD.vae.4156	1.562800271
PN5LB.vae.12257	1.664366255
PN10RM.vae.1005	1.269502726
PN3LA.vae.8234	1.731018907
PN5JD.vae.18303	1.473622708
PN14RE.vae.18168	1.668463403
PN2RH.vae.55240	1.694192239
PN6RC.vae.11816	1.741484341
PN10RP.vae.24027	1.748323765
PN8RS.vae.39850	1.197416296
PN10RO.bin.61	0.831445494
PN6RB.vae.25081	1.473622708
PN1RA.bin.109	0.973552256
PN7RQ.bin.202	0.952867657
PN12RB.vae.10809	1.385406779
PN8RD.vae.8264	1.641113796
PN14RQ.vae.4682	1.74662398
PN8RL.vae.44930	1.756724307
PN16RA.vae.36252	1.62788553
PN9RQ.vae.2786	1.197416296
PN16RO.vae.3839	1.727473626
PN5JD.bin.61	1.541480924
PN15RG.bin.84	1.396988651
PN11RM.vae.35089	1.047653976
PN2CC.vae.10734	1.692266318
PN1RF.vae.8342	1.357117139
PN14RH.vae.37805	1.132475489
PN2CB.bin.101	0.641113796
PN2CB.bin.112	0.544203783
PN3LF.bin.44	1.664366255
PN16RA.vae.2880	1.694192239
PN8RD.vae.6440	1.668463403
PN6RI.bin.183	1.688388663
PN15RC.bin.96	1.549598814
PN15RL.bin.99	1.731018907
PN3GH.vae.1435	1.63674899
PN14RH.bin.183	1.393162243
PN13RE.vae.32149	0.85859774
PN10RB.vae.75587	1.632339871
PN10RH.bin.3	1.554927648
PN14RK.vae.4906	1.67252226
PN10RH.vae.45902	0.595356305
PN3LE.bin.54	1.45067351
PN10RL.vae.16582	1.530415498
PN5RA.bin.5	1.419265046
PN1DK.vae.35022	1.381476485
PN5CB.bin.135	1.580633048
PN11RI.vae.576	1.67252226
PN16RK.vae.8937	1.504436656
PN10RO.vae.13997	1.348683972
PN10RJ.vae.57880	1.707439721
PN14RP.vae.9847	0.787241831
PN11RB.bin.80	1.45067351
PN16RB.bin.208	1.365389665
PN2LI.bin.30	1.670497573
PN8RE.vae.94814	1.45067351
PN6RE.vae.2948	0.662303095
PN8RS.vae.2551	1.361273099
PN5RB.vae.46801	1.486211836
PN13RS.vae.1267	1.60253489
PN10RB.vae.21862	1.668463403
PN5RB.bin.12	1.630118411
PN10RP.vae.27143	1.764965437
PN2RJ.bin.112	0.738023809
PN10RR.vae.16186	1.805466651
PN1CL.vae.19985	1.274582251
PN11RG.bin.31	1.07247756
PN5LC.vae.8673	1.457355096
PN8RM.vae.2229	1.668463403
PN8RD.vae.14215	1.660230086
PN5RC.vae.225	1.630118411
PN11RO.vae.26127	1.308566748
PN4RD.bin.98	1.369467578
PN1RL.vae.827	1.609596744
PN14RK.vae.22272	1.638936876
PN11RE.bin.206	1.658147135
PN1LJ.bin.85	0.884151844
PN14RO.vae.77412	1.803976789
PN1RG.bin.35	1.585596468
PN3RG.vae.4014	1.146263774
PN3LA.vae.2051	0.544203783
PN10RQ.vae.15914	1.597762375
PN1RA.bin.272	1.393162243
PN5RA.bin.269	0.738023809
PN10RJ.bin.166	1.666419661
PN10RE.bin.81	1.172592713
PN5CB.bin.82	0.983536476
PN1CD.bin.25	1.699919282
PN6RC.vae.18865	1.473622708
PN16RF.bin.140	1.662303095
PN1CL.vae.8614	1.62788553
PN3RD.vae.5361	1.377510298
PN15RJ.bin.110	1.625641109
PN1RF.vae.12819	1.63674899
PN3LE.bin.107	1.4830986
PN9RI.vae.1292	1.521927388
PN5RB.bin.45	-0.358886204
PN1LF.vae.3486	1.643279857
