name	d_mean	d_sd	d_n	c_mean	c_sd	c_n	yi	vi	measure	model	method_tau2	val_tau2	I2	Q	Q_pval	estimate	ci_lb	ci_ub	pval	index	plab
SD-LWP	3742.45454545455	73.9509021630969	22	3168.875	50.3968182102232	8	8.10861880269264	1.26628286024422	SMD	RM	REML	7.2534417171349	94.87%	182.186783659442	2.33061941762363e-31	3.57456911503352	2.15484053216874	4.99429769789829	8.02473783108399e-07	A09100	***
SX-LLBP	3337.75	115.671893051446	20	3168.875	50.3968182102232	8	1.60291400392033	0.220880951856498	SMD	RM	REML	7.2534417171349	94.87%	182.186783659442	2.33061941762363e-31	3.57456911503352	2.15484053216874	4.99429769789829	8.02473783108399e-07	A09100	***
HB-MSP	666.5625	170.401474465452	16	828	117.597376064021	8	-1.00194899004214	0.208414620388468	SMD	RM	REML	0.543661837841719	72.06%	47.2475315982204	1.75000166617222e-05	-0.4618765125698	-0.902508886788344	-0.0212441383512561	0.039931247547247	A09120	*
HL-MP	824.85	103.615318416373	20	828	117.597376064021	8	-0.0284319518715546	0.1750144352837	SMD	RM	REML	0.543661837841719	72.06%	47.2475315982204	1.75000166617222e-05	-0.4618765125698	-0.902508886788344	-0.0212441383512561	0.039931247547247	A09120	*
HL2-MP	746.636363636364	122.744234838738	22	828	117.597376064021	8	-0.651651470166326	0.177532039430711	SMD	RM	REML	0.543661837841719	72.06%	47.2475315982204	1.75000166617222e-05	-0.4618765125698	-0.902508886788344	-0.0212441383512561	0.039931247547247	A09120	*
HN-YNBP	678.315789473684	91.7024491564241	19	828	117.597376064021	8	-1.45674164179099	0.216929656927515	SMD	RM	REML	0.543661837841719	72.06%	47.2475315982204	1.75000166617222e-05	-0.4618765125698	-0.902508886788344	-0.0212441383512561	0.039931247547247	A09120	*
IM-IMBP	784.352941176471	65.2379693664573	17	828	117.597376064021	8	-0.498451241563237	0.188792602216083	SMD	RM	REML	0.543661837841719	72.06%	47.2475315982204	1.75000166617222e-05	-0.4618765125698	-0.902508886788344	-0.0212441383512561	0.039931247547247	A09120	*
JL-BSWP	823	134.397066294512	8	828	117.597376064021	8	-0.0374291608294715	0.250043779440012	SMD	RM	REML	0.543661837841719	72.06%	47.2475315982204	1.75000166617222e-05	-0.4618765125698	-0.902508886788344	-0.0212441383512561	0.039931247547247	A09120	*
JL-LXP	761.2	83.5767112697471	10	828	117.597376064021	8	-0.636763359581752	0.236262988225162	SMD	RM	REML	0.543661837841719	72.06%	47.2475315982204	1.75000166617222e-05	-0.4618765125698	-0.902508886788344	-0.0212441383512561	0.039931247547247	A09120	*
JL-SLBP	726.416666666667	143.710225063768	12	828	117.597376064021	8	-0.725108254946939	0.221477882868138	SMD	RM	REML	0.543661837841719	72.06%	47.2475315982204	1.75000166617222e-05	-0.4618765125698	-0.902508886788344	-0.0212441383512561	0.039931247547247	A09120	*
