DATASET_SIMPLEBAR
SEPARATOR TAB

#数据集名称
DATASET_LABEL	simplebar_completeness
PN5LC_k141_272942	44529
PN5LC_k141_644039_1	42518
PN5LC_k141_723866	47030
PN5LC_k141_810587	35619
PN5LE_k141_224470_1	36389
PN5LE_k141_257280	40371
PN5LF_k141_148354	32403
PN5LF_k141_463329	32921
PN5LG_k141_643274	31080
PN5LH_k141_588130_1	41593
PN5LH_k141_7170_1	22121
PN5RA_k141_1099508_1	41158
PN5RA_k141_1153584	139500
PN5RA_k141_1153589	5206
PN5RA_k141_259708_1	37761
PN5RA_k141_301700_1	42380
PN5RA_k141_468301	26348
PN5RA_k141_675611	42914
PN5RA_k141_818960	5452
PN5RB_k141_1005845	5621
PN5RB_k141_149872_1	28468
PN5RB_k141_67819	35276
PN5RC_k141_160082	30851
PN5RC_k141_167430_1	38704
PN5RC_k141_210174	22785
PN5RC_k141_398472	27768
PN5RC_k141_542477_1	35820
PN5RC_k141_587470_1	41365
PN5RC_k141_600669_1	46649
PN5RC_k141_76596	19748
PN5RD_k141_394545	22644
PN5RD_k141_790804_1	31948
PN5RD_k141_812837_1	36089
PN5RE_k141_1029892	5341
PN5RE_k141_1091085	29895
PN5RE_k141_682208	38969
PN5RE_k141_694328	28973
PN5RE_k141_712349	12967
PN5RE_k141_791063	45267
PN5RE_k141_845451	66181
PN5RF_k141_1091185	14129
PN5RF_k141_1143831	36714
PN5RF_k141_244163	35255
PN5RF_k141_678367_1	30713
PN5RF_k141_923220_1	25372
PN5RG_k141_151603	5615
PN5RG_k141_332102	28432
PN5RG_k141_448448	30981
PN5RG_k141_497285	33895
PN5RG_k141_704326	111754
PN5RG_k141_910186	18331
PN5RH_k141_219012	67053
PN5RH_k141_334478_1	35046
PN5RH_k141_518624	20908
PN6RA_k141_1369589	44109
PN6RA_k141_2090158	52616
PN6RA_k141_2158179_1	19186
PN6RA_k141_21632	21316
PN6RA_k141_718450	50084
PN6RB_k141_1168851	33378
PN6RB_k141_1435414	50028
PN6RB_k141_1678289	38418
PN6RB_k141_203285	36808
PN6RB_k141_441522	37966
PN6RC_k141_1319519	35887
PN6RC_k141_1421536	115510
PN6RC_k141_1478101	24011
PN6RC_k141_1631656	32299
PN6RC_k141_1935098_1	31036
PN6RC_k141_2028330	34820
PN6RC_k141_2120018	42916
PN6RC_k141_2341319	17532
PN6RC_k141_2452996	17047
PN6RC_k141_2863568	35474
PN6RC_k141_2942248	22201
PN6RC_k141_2952009_1	31299
PN6RC_k141_3239606	29930
PN6RC_k141_3242060	5227
PN6RD_k141_1500483	64318
PN6RD_k141_2268738_1	41994
PN6RD_k141_31315	24246
PN6RE_k141_10451	23076
PN6RE_k141_1608755	37418
PN6RE_k141_1768508	39633
PN6RE_k141_1904786	29836
PN6RE_k141_292450	33464
PN6RE_k141_870521_1	31754
PN6RF_k141_1308735	15253
PN6RF_k141_1323320	40940
PN6RF_k141_1524361	33488
PN6RF_k141_1646794_1	29299
PN6RF_k141_1684270_1	40538
PN6RF_k141_1792146	57983
PN6RF_k141_1792154	36348
PN6RF_k141_671498_1	29587
PN6RG_k141_1500270_1	27136
PN6RH_k141_1845810	43945
PN6RH_k141_2126014	19768
PN6RH_k141_2155965	27019
PN6RI_k141_1877016_1	28335
PN6RI_k141_439326_1	58513
PN6RI_k141_462236	25290
PN6RI_k141_4678_1	6475
PN6RI_k141_536790_1	40352
PN6RJ_k141_1105688	31096
PN6RJ_k141_1358062_1	38561
PN6RJ_k141_1692854	21896
PN6RK_k141_888144	45226
PN6RL_k141_100579	11054
PN6RL_k141_1280575	34040
PN6RL_k141_1514778	64161
PN6RL_k141_1716219	105538
PN6RL_k141_1953086	25045
PN6RL_k141_2122253	5250
PN6RL_k141_2322903	35024
PN6RL_k141_387251	12498
PN6RM_k141_1254259	42333
PN6RM_k141_313621_1	44197
PN6RM_k141_849111	40106
PN6RN_k141_198801	42507
PN6RN_k141_404847_1	24632
PN6RN_k141_406580	36375
PN6RO_k141_1109330	35224
PN6RO_k141_1189775	41470
PN6RO_k141_1292264_1	27810
PN6RO_k141_1301160_1	25183
PN6RO_k141_1595288_1	60171
PN6RO_k141_211040	88005
PN6RO_k141_489257	38593
PN6RO_k141_626709	8404
PN6RO_k141_68666	26025
PN6RO_k141_758526	18949
PN6RO_k141_822772	35842
PN6RO_k141_935635	42257
PN6RP_k141_149884	23767
PN6RP_k141_1661921	59113
PN6RP_k141_547862	100415
PN6RQ_k141_1411743	37328
PN6RQ_k141_688363	27635
PN6RR_k141_1245107	39595
PN6RR_k141_1802082	25658
PN6RR_k141_191738	22002
PN6RR_k141_226390	39083
PN6RR_k141_277978	21479
PN6RS_k141_204465	19720
PN6RS_k141_2073160	58104
PN6RS_k141_2073216	5207
PN6RS_k141_868852	50331
PN6RT_k141_140429	28469
PN7RA_k141_1238866	21964
PN7RA_k141_1277277	42404
PN7RA_k141_270448	40138
PN7RA_k141_366524	39133
PN7RA_k141_655051	39048
PN7RA_k141_841369_1	77457
PN7RB_k141_1301846	11373
PN7RB_k141_163604	11648
PN7RB_k141_1719376	15665
PN7RB_k141_617360	31062
PN7RB_k141_760529	44290
PN7RC_k141_1517110	36207
PN7RC_k141_1722821	43820
PN7RC_k141_422077	11731
PN7RC_k141_673102	32138
PN7RD_k141_1004490	6387
PN7RD_k141_1070672	5038
PN7RD_k141_1167704	36421
PN7RD_k141_430180	31789
PN7RD_k141_563535	53343
PN7RD_k141_622025	8600
PN7RD_k141_713523	31921
PN7RD_k141_751590	88390
PN7RD_k141_839695	30335
PN7RD_k141_870762	13123
PN7RE_k141_1212269	39351
PN7RE_k141_1332564	32200
PN7RE_k141_1481881	38151
PN7RE_k141_1495404	38850
PN7RE_k141_1587123	33059
PN7RE_k141_20763	39271
PN7RE_k141_529961	26009
PN7RE_k141_723978	39473
PN7RE_k141_800654	11934
PN7RE_k141_845352	37864
PN7RE_k141_917974	34995
PN7RF_k141_1091465	27584
PN7RF_k141_1153765	19098
PN7RF_k141_1427867	11652
PN7RF_k141_1507632	36064
PN7RF_k141_1526765_1	27365
PN7RF_k141_163680	22068
PN7RF_k141_1689160	23825
PN7RF_k141_1791577	43446
PN7RF_k141_1963274	24285
PN7RF_k141_2081972	35004
PN7RF_k141_619920	23423
PN7RF_k141_918613	34632
PN7RF_k141_999117	28789
PN7RG_k141_1742717	10566
PN7RG_k141_1748556	67690
PN7RG_k141_1795509_1	24953
PN7RG_k141_513741	6992
PN7RG_k141_638746	10989
PN7RG_k141_943104	10128
PN7RG_k141_986914	26460
PN7RH_k141_1521578	41345
PN7RH_k141_1610760	21390
PN7RH_k141_180440	21892
PN7RH_k141_318767	32785
PN7RH_k141_36206	28150
PN7RH_k141_804485	54485
PN7RH_k141_966977	20611
PN7RI_k141_114589	22930
PN7RI_k141_1150724	22362
PN7RI_k141_1470491	9324
PN7RI_k141_1570416	99699
PN7RI_k141_1659980	27719
PN7RI_k141_422358_1	23701
PN7RI_k141_516197	43753
PN7RI_k141_826842	34503
PN7RJ_k141_1466095	42860
PN7RJ_k141_277613	29895
PN7RJ_k141_330186	25452
PN7RJ_k141_954023	12798
PN7RK_k141_1217707	25872
PN7RK_k141_1831834	14095
PN7RK_k141_1985587	90424
PN7RK_k141_2404778	101570
PN7RK_k141_2422357	34532
PN7RK_k141_24924	6764
PN7RK_k141_466836	34262
PN7RK_k141_484604	138462
PN7RK_k141_622957	21809
PN7RL_k141_1218083	44935
PN7RL_k141_1384741_1	27329
PN7RL_k141_1450571	28948
PN7RL_k141_1565061	12981
PN7RL_k141_1620007	5320
PN7RL_k141_258829	60256
PN7RL_k141_405775	23404
PN7RL_k141_566720	29065
PN7RL_k141_610889	23017
PN7RL_k141_715450	31202
PN7RM_k141_1069896	24461
PN7RM_k141_1356131	14258
PN7RM_k141_146029	53635
PN7RM_k141_1616553	27874
PN7RM_k141_275468	28264
PN7RM_k141_73227	14209
PN7RN_k141_1442219	9867
PN7RN_k141_1755251_1	40363
PN7RN_k141_2235052	42865
PN7RN_k141_274482	23724
PN7RN_k141_992565	11660
PN7RO_k141_1132777	15542
PN7RO_k141_1211468	23963
PN7RO_k141_1217048	8192
PN7RO_k141_185652	14216
PN7RO_k141_340223	34014
PN7RO_k141_357087	47143
PN7RO_k141_376986	149287
PN7RO_k141_420519	227791
PN7RO_k141_759391	8756
PN7RO_k141_823114	31783
PN7RO_k141_838452	32302
PN7RO_k141_959685	30026
PN7RO_k141_972622	22208
PN7RP_k141_500957	36482
PN7RP_k141_921672	8664
PN7RQ_k141_1182332	32301
PN7RQ_k141_1244942	11017
PN7RQ_k141_1291474_1	33681
PN7RQ_k141_130485	36330
PN7RQ_k141_673304	24291
PN7RR_k141_1019639_1	40442
PN7RR_k141_1404279	14630
PN7RR_k141_1407969	25672
PN7RR_k141_1451437	5062
PN7RR_k141_351287_1	35924
PN7RR_k141_360224	29824
PN7RR_k141_832587	6126
PN7RR_k141_920203	30319
PN7RS_k141_1138458_1	19298
PN7RS_k141_1190078	24021
PN7RS_k141_1286623	35766
PN7RS_k141_611232	37354
PN7RT_k141_2262780	51938
PN7RT_k141_611060	36263
PN7RT_k141_779256	43417
PN7RT_k141_783121	7119
PN7RT_k141_788823	26650
PN7RU_k141_1596254	30265
PN7RV_k141_1218653	38018
PN7RV_k141_484025	24884
PN7RV_k141_529539	11978
PN7RV_k141_669143	28654
PN7RV_k141_908639	38532
PN8RA_k141_48385	21720
PN8RA_k141_905252	18271
PN8RA_k141_9764	27931
PN8RB_k141_1327355	32681
PN8RB_k141_371882	67514
PN8RB_k141_454853	56509
PN8RB_k141_522625	44777
PN8RB_k141_564816	47003
PN8RB_k141_956384	22071
PN8RC_k141_102622	9461
PN8RC_k141_195311	20198
PN8RC_k141_489774	25216
PN8RC_k141_854899_1	35586
PN8RC_k141_960058	36444
PN8RD_k141_1019929	57765
PN8RD_k141_1255435	18747
PN8RD_k141_1404464	10899
PN8RD_k141_1418700	13476
PN8RD_k141_222698	7117
PN8RD_k141_224529	41811
PN8RD_k141_290808	22713
PN8RD_k141_350458	24918
PN8RD_k141_391821	28015
PN8RD_k141_64568	43817
PN8RD_k141_961992	39044
PN8RE_k141_1221276	35934
PN8RE_k141_1225485	43071
PN8RE_k141_1280824	30451
PN8RE_k141_23513	20125
PN8RE_k141_58666	38317
PN8RF_k141_1202006	37401
PN8RF_k141_1280131_1	31666
PN8RF_k141_1358428_1	40166
PN8RF_k141_1360372	5689
PN8RF_k141_163351	76360
PN8RF_k141_62521_1	21713
PN8RF_k141_8838	99450
PN8RG_k141_1044820	24270
PN8RG_k141_1098516	11734
PN8RG_k141_1307429	36056
PN8RG_k141_165317	18658
PN8RG_k141_407267	25292
PN8RH_k141_1006419	40076
PN8RH_k141_18208_1	36687
PN8RH_k141_550301	41113
PN8RH_k141_715014_1	37306
PN8RH_k141_778564	143972
PN8RH_k141_785636	36634
PN8RH_k141_796857	40549
PN8RI_k141_1112897	40542
PN8RI_k141_1297808	18164
PN8RI_k141_1299937	16330
PN8RI_k141_563206_1	9449
PN8RI_k141_754720	16420
PN8RJ_k141_106813	25384
PN8RJ_k141_110964	5290
PN8RJ_k141_1202466_1	27254
PN8RJ_k141_1410659	30637
PN8RJ_k141_269737	30102
PN8RJ_k141_39980	32668
PN8RJ_k141_446404_1	28872
PN8RJ_k141_593455	19640
PN8RJ_k141_644216_1	36924
PN8RJ_k141_667928	123157
PN8RJ_k141_717502	35569
PN8RJ_k141_893437	88857
PN8RK_k141_1008648_1	35095
PN8RK_k141_1121304	35707
PN8RK_k141_195110_1	31114
PN8RK_k141_57474	23860
PN8RK_k141_632168	27421
PN8RK_k141_700123_1	37938
PN8RK_k141_820928	22758
PN8RL_k141_1659745	31636
PN8RL_k141_1781815	42777
PN8RL_k141_20945_1	30468
PN8RL_k141_346740	19987
PN8RL_k141_452315	15810
PN8RM_k141_1119990	11177
PN8RM_k141_1320283	31538
PN8RM_k141_1553942	29003
PN8RM_k141_1738869	11716
PN8RM_k141_1773423	25734
PN8RM_k141_1773425	6324
PN8RM_k141_191726	35670
PN8RM_k141_28890	28893
PN8RM_k141_292513	33105
PN8RM_k141_304441	122198
PN8RM_k141_328584	46749
PN8RM_k141_508451	41142
PN8RM_k141_63249	38904
PN8RM_k141_684863	36045
PN8RM_k141_739007	35555
PN8RM_k141_888148	40895
PN8RM_k141_888260	38579
PN8RN_k141_1112183	25227
PN8RN_k141_205978	25876
PN8RN_k141_404337	45996
PN8RN_k141_616824	24090
PN8RN_k141_707765	22105
PN8RN_k141_774632	16052
PN8RN_k141_77558	6028
PN8RN_k141_784300	30306
PN8RO_k141_127277_1	40870
PN8RO_k141_1289523	27267
PN8RO_k141_1415432	11165
PN8RO_k141_1641543	13336
PN8RO_k141_185490	33939
PN8RO_k141_509478	31528
PN8RP_k141_1200367_1	31495
PN8RP_k141_309309_1	30085
PN8RP_k141_454351	22714
PN8RP_k141_573613_1	36436
PN8RQ_k141_1249176	23353
PN8RQ_k141_1358735_1_fragment_2	36621
PN8RQ_k141_150784	6579
PN8RQ_k141_75398	24424
PN8RQ_k141_989287	32063
PN8RR_k141_1375320_1	26202
PN8RR_k141_1416014	6241
PN8RR_k141_162807	74085
PN8RR_k141_357752	19634
PN8RR_k141_424709	36515
PN8RR_k141_433655	45644
PN8RR_k141_444049	14199
PN8RR_k141_502474	19399
PN8RR_k141_69532_1	33325
PN8RR_k141_714337	21983
PN8RR_k141_774866	57799
PN8RR_k141_864063	29758
PN8RS_k141_1087339	33543
PN8RS_k141_1105934	33312
PN8RS_k141_1245204	34966
PN8RS_k141_1273873	27260
PN8RS_k141_1293490	13983
PN8RS_k141_1394220	8550
PN8RS_k141_353199	31958
PN8RS_k141_418229	80828
PN8RS_k141_742095	36810
PN8RS_k141_786640	20368
PN9RA_k141_1218141	29627
PN9RD_k141_1335676	17227
PN9RD_k141_1718692	27987
PN9RD_k141_215526	25161
PN9RD_k141_72247	96559
PN9RE_k141_1869683	87474
PN9RF_k141_1998944	85477
PN9RG_k141_1088505	28757
PN9RG_k141_1731105	27719
PN9RG_k141_37644	33014
PN9RH_k141_968780	17549
PN9RI_k141_112220_1	33961
PN9RJ_k141_1250851	21966
PN9RJ_k141_126410	30400
PN9RJ_k141_26463	24870
PN9RJ_k141_367738	24207
PN9RJ_k141_367743	19782
PN9RJ_k141_623533	38839
PN9RJ_k141_801827	20520
PN9RK_k141_1291474	29149
PN9RK_k141_620938	42402
PN9RL_k141_1338455	26597
PN9RL_k141_642464	21405
PN9RM_k141_167958	27564
PN9RO_k141_1180504	7786
PN9RO_k141_1660785	26932
PN9RO_k141_894151	54854
PN9RP_k141_1507197	5861
Q21_NODE_23_1	29107
R126_NODE_18_1	39832
R75_NODE_4_1	41366
R76_NODE_10_1	44170
R99_NODE_164	37155
TY10_NODE_8_1	21908
PN1CJ_k141_1538820	59618
PN8RJ_k141_552379	46643
PN2CH_k141_1978790	147624
PN9RL_k141_1903383	5599
PN16RC_k141_2142869	5471
J630_NODE_4_1	33845
PN10RH_k141_2265385	33451
PN12RC_k141_218904_1	18468
PN14RP_k141_1449823	35937
PN14RQ_k141_1082171	27233
PN14RS_k141_1338690_1_fragment_1	72887
PN15RB_k141_1587629	48000
PN1CJ_k141_1107148_1	61971
PN1RC_k141_2784232	48707
PN1RI_k141_244811_1	38000
PN1RJ_k141_21592	24589
PN3GB_k141_136523	40264
PN3RE_k141_1436262	49475
PN5CF_k141_95761	41816
PN5JA_k141_196522_1	32935
PN5RB_k141_131001_1	45191
PN5RH_k141_360529	29346
PN6RF_k141_290931	47688
PN6RP_k141_1779703	33663
PN7RO_k141_1303756	25591
PN8RD_k141_202628	37284
PN8RP_k141_38011	20260
PN13RL_k141_1809325	11015
PN14RK_k141_1531161	13830
PN15RO_k141_786631	7838
PN1RH_k141_707612	10175
PN2CH_k141_1595498	8602
PN5IH_k141_12393	11502
PN9RP_k141_1447538	10985
PN11RG_k141_901410	89539
PN13RH_k141_509682	67499
PN15RE_k141_187531	78514
PN15RP_k141_1261726	89380
PN1CF_k141_786075	105034
PN1CG_k141_680414	91992
PN3CD_k141_1525886	59863
PN5CB_k141_563742	93173
PN10RT_k141_1872219	99653
PN13RP_k141_852750	99915
PN13RT_k141_8202	99341
PN16RR_k141_590254	172203
PN16RU_k141_2177304	151187
PN1RI_k141_1426593	101749
PN7RK_k141_2313542	95819
PN7RQ_k141_1967579	98906
PN8RC_k141_427281	101229
PN7RM_k141_1051116	15437
CH41_NODE_3_1	53507
J1406_NODE_1_1	44816
J2-1_NODE_2_1	37114
PN10RC_k141_1371786_1	35112
PN10RK_k141_2074259	34010
PN10RK_k141_546121	60224
PN10RL_k141_1876712	57304
PN10RL_k141_775161	67237
PN10RM_k141_824557_1	22974
PN10RR_k141_1003756	41238
PN11RA_k141_2106867	33303
PN11RI_k141_99046	128605
PN12RA_k141_927627	17475
PN12RG_k141_252288	33964
PN12RG_k141_299046	48279
PN12RG_k141_930711	59435
PN12RH_k141_1345120	46897
PN12RJ_k141_1781765	60931
PN13RA_k141_1148318	58894
PN13RE_k141_1551744	21326
PN13RE_k141_1580265	23881
PN13RG_k141_64910	42259
PN13RH_k141_265040	23386
PN13RI_k141_1116564	41701
PN13RI_k141_1298280	60451
PN13RI_k141_1624497	51275
PN13RJ_k141_1724669	53295
PN13RK_k141_455714	155795
PN13RL_k141_1174688	59190
PN13RL_k141_810070_1	30360
PN13RM_k141_476830	45901
PN13RN_k141_478660	31862
PN13RO_k141_213607	32292
PN13RP_k141_1270585	139923
PN13RU_k141_2044794	89867
PN14RC_k141_1491586	111899
PN14RC_k141_1491593	153153
PN14RF_k141_278432	22180
PN14RF_k141_500513	39882
PN14RG_k141_1200157	43040
PN14RL_k141_178622	36173
PN14RM_k141_834773_1	33366
PN14RN_k141_195930_1	26412
PN14RP_k141_1245201	45576
PN14RP_k141_185206	54876
PN14RP_k141_281735	47859
PN14RP_k141_306527	30459
PN15RA_k141_211459	88484
PN15RB_k141_131079	46483
PN15RE_k141_612749	49607
PN15RF_k141_543628	80375
PN15RF_k141_65152	26263
PN15RF_k141_771496	31103
PN15RG_k141_99406	50251
PN15RH_k141_1067029	58675
PN15RH_k141_1247463	29622
PN15RI_k141_212503	42459
PN15RK_k141_468321	29866
PN15RL_k141_4850	20368
PN16RA_k141_2355383	54458
PN16RC_k141_1822126	57555
PN16RE_k141_593313	56374
PN16RF_k141_2023108	52471
PN16RM_k141_1859	25037
PN16RP_k141_1124870	39322
PN1CA_k141_550183	29249
PN1CB_k141_1849213	57349
PN1CC_k141_16028_1	39103
PN1CH_k141_810082	83295
PN1CJ_k141_425443	53397
PN1JE_k141_493239	40261
PN1JF_k141_56312	25602
PN1LC_k141_1343455	43086
PN1LG_k141_775130_1	18858
PN1RA_k141_146248	56480
PN1RA_k141_1910072	121189
PN1RA_k141_2242843	38573
PN1RA_k141_4399294	57390
PN1RA_k141_4399322	21593
PN1RD_k141_1686666	25194
PN1RD_k141_325874	24465
PN1RD_k141_581716	86849
PN1RE_k141_1315456	44563
PN1RE_k141_50357	59706
PN1RE_k141_894331	52842
PN1RE_k141_899991_1	42023
PN1RG_k141_520768	54163
PN1RH_k141_1616080	36923
PN1RH_k141_1846805	53800
PN1RH_k141_2344809	34664
PN1RH_k141_3088506	50778
PN1RH_k141_440105	56558
PN1RH_k141_709530	15707
PN1RI_k141_959228	27019
PN1RJ_k141_694816	37619
PN1RJ_k141_95304	64154
PN1RK_k141_2791365	38942
PN1RK_k141_3028284	41295
PN1RL_k141_1021650	80429
PN1RL_k141_1705863	39428
PN1RL_k141_947702	35327
PN2CA_k141_1416687	28263
PN2CA_k141_240490	74447
PN2CD_k141_1776313_1	26224
PN2JG_k141_91417	28199
PN2LA_k141_500320	20938
PN2LI_k141_635799	122355
PN2RA_k141_186196	57766
PN2RA_k141_2091834	58561
PN2RG_k141_1456402	23026
PN2RG_k141_507689	13925
PN3CD_k141_1181921	50316
PN3CF_k141_1066935	75283
PN3CF_k141_2614888	85591
PN3CF_k141_376321	129421
PN3CG_k141_1254072	60698
PN3CG_k141_1433310	40749
PN3LH_k141_2303514	57791
PN3LH_k141_2622391	50824
PN3RD_k141_1375315	22905
PN3RD_k141_1903276	32291
PN3RF_k141_2620380	39921
PN4RA_k141_1149581	24371
PN4RE_k141_334082	54940
PN4RF_k141_501339	45967
PN5CB_k141_215635	35247
PN5CC_k141_428189_1	25091
PN5CE_k141_446310	50388
PN5CE_k141_622367	9105
PN5CG_k141_23716	40942
PN5CG_k141_495824_1	34899
PN5IH_k141_150187_1	34729
PN5LA_k141_175264_1	37282
PN5LA_k141_312955_1	45531
PN6RE_k141_1850010	42259
PN6RO_k141_1661859	47018
PN7RF_k141_2081924	38353
PN7RI_k141_1405423	29865
PN7RI_k141_1643397	17585
PN7RK_k141_535741	35540
PN7RO_k141_1695171	32561
PN7RQ_k141_11804	123855
PN8RA_k141_671593	26222
PN8RA_k141_749121	32621
PN8RB_k141_1534990	31591
PN8RC_k141_243480	25786
PN8RC_k141_324844	21805
PN8RD_k141_1517387	31146
PN8RE_k141_394160	58479
PN8RE_k141_66740	54665
PN8RF_k141_1304733	56404
PN8RJ_k141_102584	79263
PN8RJ_k141_838063	54385
PN8RK_k141_351306	161532
PN8RN_k141_1306999	21879
PN8RO_k141_567155	33433
PN8RP_k141_394309	126956
PN8RP_k141_431044	60144
PN8RP_k141_473552	56453
PN8RR_k141_1136766	20145
PN8RS_k141_241990	32112
PN8RS_k141_29557	52550
PN8RS_k141_385782	41673
PN9RK_k141_1098845	63949
PN9RK_k141_1153680	26347
PN13RD_k141_2119452	5056
PN13RR_k141_1493163	12387
PN5CB_k141_689847	8215
PN5CD_k141_204677	6859
PN10RE_k141_1989064	30722
PN10RF_k141_542221	40467
PN10RH_k141_1094854	49676
PN10RH_k141_216085	23470
PN10RL_k141_616879	26176
PN10RL_k141_921375	41890
PN10RM_k141_910357_fragment_2	53136
PN10RR_k141_1520381	37525
PN11RA_k141_1216636	23927
PN11RA_k141_2011539	33376
PN11RB_k141_2009907_1	39005
PN11RB_k141_84998	32438
PN11RF_k141_2193383	20606
PN11RF_k141_2642340	33043
PN11RH_k141_1297361_1	32913
PN11RI_k141_1744530	16688
PN11RI_k141_2174519	37285
PN11RI_k141_2252154	22768
PN11RI_k141_2252170	20475
PN11RJ_k141_2629171	22293
PN12RB_k141_1148777	112356
PN12RD_k141_777283	62501
PN12RJ_k141_1887489	25068
PN13RB_k141_1356816	56126
PN13RC_k141_1159726	99478
PN13RC_k141_1536025	37880
PN13RD_k141_2183223	37144
PN13RD_k141_365280	33373
PN13RE_k141_1580282	21165
PN13RF_k141_2155545	32390
PN13RI_k141_640783	26697
PN13RK_k141_1592285	9408
PN13RL_k141_68908	33724
PN13RM_k141_1313645	35057
PN13RN_k141_464293	37645
PN13RN_k141_708406_1	23173
PN13RP_k141_12769	35170
PN13RP_k141_1594279	29365
PN13RP_k141_352451	13851
PN13RQ_k141_1931242	17277
PN13RQ_k141_200450	30841
PN13RQ_k141_736015	23228
PN14RB_k141_1013149	39165
PN14RC_k141_536679_fragment_1	54519
PN14RC_k141_660877_1_fragment_1	115705
PN14RD_k141_1931364	24291
PN14RE_k141_1257099	43447
PN14RF_k141_1477090	38508
PN14RF_k141_245632	28463
PN14RH_k141_935706	72139
PN14RI_k141_129304	31686
PN14RJ_k141_1186501	44584
PN14RJ_k141_45867	27032
PN14RK_k141_119277	46941
PN14RM_k141_277529	38623
PN14RM_k141_326609_1	36980
PN14RM_k141_890597	30126
PN14RO_k141_1052326	17350
PN14RO_k141_34975	34824
PN14RP_k141_489455	33171
PN15RA_k141_149397	19056
PN15RA_k141_796770	28108
PN15RB_k141_1038531	25315
PN15RB_k141_1066434	30364
PN15RB_k141_1280984	20961
PN15RB_k141_378384	112105
PN15RB_k141_502789	23426
PN15RC_k141_1170328	106536
PN15RE_k141_1240851	16961
PN15RF_k141_1226945	15440
PN15RF_k141_248229	16908
PN15RF_k141_473823	25718
PN15RF_k141_495011	34667
PN15RG_k141_515062	60603
PN15RI_k141_478632	20846
PN15RK_k141_62147	33136
PN15RL_k141_715277	27119
PN15RM_k141_485008	20531
PN15RO_k141_1019726	30258
PN15RO_k141_265786	26587
PN15RP_k141_1306991	25507
PN15RP_k141_1463982	26517
PN15RP_k141_1525950	38999
PN16RA_k141_472241	26424
PN16RB_k141_1623486	32305
PN16RE_k141_499397	57849
PN16RE_k141_626270	17560
PN16RE_k141_711352	82600
PN16RH_k141_1054227	39628
PN16RL_k141_1458738	52439
PN16RM_k141_1239044	29760
PN16RM_k141_1370685	34979
PN16RN_k141_294050	33534
PN16RU_k141_1371239	37862
PN16RV_k141_1830663_fragment_1	39217
PN1CA_k141_571811	18901
PN1CD_k141_309050	26121
PN1CE_k141_1112715	26932
PN1CE_k141_729195	34865
PN1CF_k141_915102	40892
PN1CL_k141_1487416	150417
PN1GC_k141_47103	39012
PN1LH_k141_1033107	34194
PN1RD_k141_1448473	35939
PN1RD_k141_1717402	53088
PN1RE_k141_1178097	16445
PN1RE_k141_85174	20280
PN1RF_k141_1162470	42270
PN1RG_k141_722053	40847
PN1RH_k141_1848620	50897
PN1RH_k141_286901	39417
PN1RH_k141_2916572	18871
PN1RJ_k141_1020905	25370
PN1RK_k141_1256421	29771
PN1RK_k141_1648114	94122
PN1RK_k141_1985411	43859
PN1RK_k141_2443338	26215
PN2CA_k141_1385142	59849
PN2CC_k141_247110_1	30651
PN2CE_k141_1103254	42080
PN2CE_k141_658188	24132
PN2CI_k141_128577	43960
PN2GJ_k141_173977_1	40614
PN2LI_k141_1462311	31795
PN2RG_k141_2237542	57608
PN2RG_k141_796967	15929
PN3CF_k141_1196483	22537
PN3CG_k141_1605619	31599
PN3LA_k141_1548299_1	26199
PN3LB_k141_1439903	26123
PN3LD_k141_740999	27765
PN3LF_k141_699924	44059
PN3LH_k141_442573_1	38865
PN3RD_k141_1013746_1	50411
PN3RD_k141_285086	38146
PN3RF_k141_1413426	24557
PN3RG_k141_2386287	47053
PN4RA_k141_48464	148494
PN4RB_k141_1577344	30160
PN4RB_k141_1841846	37188
PN4RB_k141_561529	29033
PN4RE_k141_1880121_1	27456
PN4RG_k141_1233798	57815
PN5CC_k141_109442	31985
PN5CC_k141_472053_1	27532
PN5CC_k141_495003	32124
PN5CG_k141_169488	30595
PN5LA_k141_208116	30843
PN5LB_k141_574953	35191
PN5LD_k141_326693	41073
PN5LD_k141_556954_1	24064
PN5LD_k141_6485_1	37168
PN5LH_k141_424434	34223
PN5RA_k141_573284_1	45696
PN5RB_k141_704512	23820
PN5RC_k141_105377	22472
PN5RD_k141_292667_1	28452
PN5RF_k141_122613	38298
PN5RG_k141_721209	39572
PN5RH_k141_652217_1	49106
PN5RH_k141_687059_fragment_1	56670
PN5RH_k141_938632	32332
PN6RB_k141_235041	27143
PN6RC_k141_2277006	29317
PN6RF_k141_401589	21589
PN6RG_k141_1255814_1	37523
PN6RH_k141_2318592	38830
PN6RJ_k141_1706780_1	36007
PN6RM_k141_1757500_1	38977
PN6RO_k141_1029708	20093
PN6RO_k141_2930	23183
PN6RO_k141_548526_1	19845
PN6RS_k141_1521788	36498
PN6RS_k141_376580	28071
PN7RD_k141_277140	19945
PN7RH_k141_1424573	21496
PN7RH_k141_162261	29270
PN7RH_k141_1711976	45879
PN7RI_k141_211400	13238
PN7RI_k141_767818	22309
PN7RL_k141_599486	27895
PN7RL_k141_674344	42942
PN7RO_k141_1179618	43898
PN7RT_k141_1090174	28714
PN7RV_k141_1317604	268169
PN8RA_k141_759537_fragment_2	25463
PN8RD_k141_899038	16280
PN8RE_k141_1211542	17987
PN8RE_k141_591927	23765
PN8RE_k141_939990	40270
PN8RF_k141_466560	38956
