DATASET_SIMPLEBAR
SEPARATOR TAB

#数据集名称
DATASET_LABEL	simplebar_completeness
PN1GJ_k141_238156_1	24098
PN1GJ_k141_297743	21495
PN1GJ_k141_99146	30230
PN1GL_k141_80702	34823
PN1LJ_k141_709698	15659
PN1RC_k141_2789555	25371
PN1RD_k141_3058572	72499
PN1RE_k141_394178	23526
PN1RG_k141_616643	29288
PN1RI_k141_1327160	34913
PN1RK_k141_1823283_1	26673
PN1RK_k141_3380706	14616
PN1RL_k141_2257904	28011
PN2CB_k141_663822_fragment_1	44169
PN2CG_k141_1197735	66022
PN2CI_k141_2343961	35940
PN2CI_k141_2929757	5706
PN2GC_k141_18455	45330
PN2JA_k141_83014_1	34661
PN2LA_k141_158020_1	52882
PN2LC_k141_1008008	34574
PN2LD_k141_1168212	47249
PN2LE_k141_474860	29683
PN2LG_k141_1277983	23805
PN2RC_k141_2785566	32651
PN2RC_k141_364097	46292
PN3CA_k141_2129279	21531
PN3CB_k141_1292114	47318
PN3CB_k141_845054	32221
PN3CD_k141_758192_1	29707
PN3CD_k141_951965	92870
PN3DG_k141_201469	24634
PN3DG_k141_317840	85250
PN3GA_k141_133738	43554
PN3GA_k141_382530	27127
PN3GB_k141_224472	20384
PN3GB_k141_35213_fragment_1	27441
PN3GD_k141_430624	54692
PN3GF_k141_207487_1	32677
PN3JD_k141_149675	26025
PN3LA_k141_1526323_1	46499
PN3LA_k141_1634163	23750
PN3LF_k141_1635394	39867
PN3RA_k141_2553034	5988
PN3RF_k141_2315266	43723
PN5CA_k141_569162	55083
PN5CC_k141_223	19522
PN5CF_k141_588904	6157
PN5GD_k141_632821_1	6374
PN5GE_k141_226045	43215
PN5GG_k141_584797	29528
PN5LE_k141_47250	44240
PN5LF_k141_397055_1	61115
PN5RB_k141_1005818	6223
PN5RC_k141_232234	40742
PN5RE_k141_1091206	7219
PN5RG_k141_283562	79318
PN6RB_k141_2783631	6998
PN6RF_k141_1792195	7004
PN6RL_k141_623489	32310
PN6RO_k141_1525198	36718
PN6RQ_k141_1052508_1	26483
PN6RR_k141_1014380	22101
PN7RB_k141_537543	40562
PN7RF_k141_497279	9840
PN7RI_k141_964886	41369
PN7RL_k141_1262369	45031
PN7RS_k141_1089705	23894
PN7RS_k141_1286596	51236
PN7RS_k141_78682	34319
PN8RB_k141_1492480	25719
PN8RB_k141_523431	38038
PN8RD_k141_1157030	11093
PN8RD_k141_1487279	43507
PN8RE_k141_319520	25393
PN8RF_k141_1217753	6440
PN8RH_k141_782929	12184
PN8RI_k141_1333607	65818
PN8RI_k141_1373754	97217
PN8RM_k141_1320780	23054
PN8RM_k141_243613	12620
PN8RO_k141_1628475_1	40100
PN8RR_k141_808692	57470
PN8RS_k141_1548842	12434
PN9RC_k141_1106292	23534
PN9RD_k141_1893811	37751
PN9RJ_k141_1191918	31207
PN9RJ_k141_1585234	17301
PN1LD_k141_515734	103963
PN6RL_k141_910193	28830
PN8RS_k141_1103810	97769
PN3RF_k141_1821396	32030
PN7RH_k141_200844	9289
PN4RG_k141_801120	58075
PN3LA_k141_731624	105080
PN14RS_k141_180320	97409
PN3RF_k141_1328057	15982
PN5LC_k141_249064_1	40209
PN1RI_k141_1327357	96969
PN8RH_k141_1029369	8351
PN8RB_k141_235756	55619
PN3GD_k141_819061	41886
PN2CF_k141_1457581	29322
PN15RA_k141_803645_1	24545
PN5RG_k141_961942	188614
PN14RQ_k141_855727	94095
PN10RQ_k141_1690553	35597
PN15RA_k141_556674	25861
PN3RD_k141_2247270	14179
PN3GB_k141_463600	21790
PN7RI_k141_516058	98231
PN13RG_k141_242258	121021
PN7RM_k141_1260145	100249
PN14RG_k141_1935755	43775
PN16RV_k141_1139381	36498
PN3CA_k141_2034501	64426
PN8RI_k141_701264	37759
PN8RQ_k141_780160	55041
PN8RG_k141_1132847	49463
PN16RE_k141_1404016	16543
PN2CC_k141_919774	12720
PN5RA_k141_1110477	35092
PN5RG_k141_563631	29821
PN8RS_k141_1064712	30099
PN11RA_k141_422654	21985
PN11RC_k141_2774917	24758
PN13RA_k141_1013476_1	65957
PN1CG_k141_341166	30900
PN5RA_k141_439331	41698
PN5RC_k141_37825	27077
PN5RD_k141_238916	109110
PN5RF_k141_414206	42664
PN9RK_k141_531862_1	25566
PN14RN_k141_378913_1	57854
PN1GC_k141_88170	89099
PN1RK_k141_3402894	44583
PN5RG_k141_1019227	56839
PN1RJ_k141_1800633	71262
PN3RH_k141_2953533_1	45084
PN7RH_k141_1711983	31007
PN13RK_k141_2120372_1	108138
PN15RA_k141_676812_1	90871
